repo	updated_at	created_at	description	default_branch
louispaulet/Classfication_and_Representation_Learning_course	2020-12-09T15:23:09Z	2020-12-09T15:16:15Z	Ressources and assignments for Classfication and Representation Learning course	main
louispaulet/Data_dependencies_and_data_integration_course	2021-01-08T17:04:09Z	2020-12-09T15:24:16Z	Ressources and assignments for the Data dependencies and data integration course	main
louispaulet/ETL_tests	2023-03-16T02:35:11Z	2023-03-16T02:33:01Z	A place to store ETL tests	master
louispaulet/FILM_frame_interpolation_docker	2023-02-20T08:01:19Z	2022-11-11T01:15:50Z	FILM Frame interpolation on docker with docker-compose	main
louispaulet/GFPGAN_docker_local_gpu	2022-11-05T04:33:11Z	2022-11-05T04:16:22Z	GFPGAN Notebook running on local GPU via docker	main
louispaulet/MNIST-KERAS-FLASK-JS	2023-03-15T03:44:42Z	2023-03-15T03:39:14Z	CNN MNIST model trained on Keras and served on Flask API to simple JS front-end	main
louispaulet/OCRmyPDF_google_colab	2024-10-12T15:50:05Z	2021-04-20T23:27:51Z	A collaboratory notebook that converts PDFs to OCR parsed PDF/A format	main
louispaulet/OpenAI_CLIP-REACT-FLASK	2023-03-17T02:01:57Z	2023-03-16T23:48:11Z	Showcase OpenAI Clip in various applications	main
louispaulet/RealESRGAN_docker_local_gpu	2022-11-09T02:29:26Z	2022-11-07T21:50:56Z	RealESRGAN pipeline on docker compose using local GPU	main
louispaulet/Taquin	2015-04-12T15:56:55Z	2015-04-12T15:56:55Z		master
louispaulet/ai_art_ressources	2022-09-21T13:43:41Z	2022-09-21T12:30:04Z	Stable diffusion and latent diffusion notebooks	main
louispaulet/artstation_chrome_ext	2023-06-04T20:22:01Z	2023-06-03T13:36:51Z	A chrome extension for accelerating Artstation uploads	main
louispaulet/benchmark_experiments	2026-05-26T23:27:13Z	2024-06-11T12:35:14Z	A repo where we benchmark LLMs against MMLU and other datasets	main
louispaulet/bernard_generator	2026-05-26T16:18:46Z	2026-05-18T10:17:46Z	Simulating the life of bernards	main
louispaulet/card_display	2026-05-15T00:26:24Z	2023-03-28T21:59:02Z	An app to display cards	main
louispaulet/card_share	2026-05-15T00:26:16Z	2023-04-13T01:51:02Z	A project to share cards easily	main
louispaulet/checkout_documentation	2025-05-26T22:16:48Z	2025-05-26T21:07:56Z	Checkout.com cookbook	main
louispaulet/codeberg-migration	2026-05-01T22:51:41Z	2026-05-01T22:46:26Z		main
louispaulet/crossref_news	2026-05-26T16:18:17Z	2026-04-19T16:02:49Z	Academic news using Crossref API	main
louispaulet/dbx_repo_course_day_2	2026-01-23T15:02:23Z	2026-01-23T14:59:23Z	a temp repo for the DBX lab second day	main
louispaulet/dirty_candidates_map	2026-05-15T00:25:37Z	2024-07-03T13:39:23Z	A map to show where dirty candidates are located.	main
louispaulet/distributed_systems_project	2016-12-30T20:20:43Z	2016-12-30T20:18:20Z	le projet à faire pour dans pas longtemps	master
louispaulet/docker_stable_diffusion_v2	2022-11-29T14:35:19Z	2022-11-29T14:30:30Z	Run stable diffusion V2 jupyter notebook inside a docker container	master
louispaulet/elk_test	2023-05-17T02:20:08Z	2023-05-17T02:20:07Z	a simple elk stack test on docker compose	main
louispaulet/empty-room-demo	2026-06-06T10:23:31Z	2026-06-03T22:21:45Z		main
louispaulet/esp32_control_panel	2020-12-09T21:06:58Z	2020-12-09T14:04:49Z	A web control panel for esp32	main
louispaulet/eyeo_case_study	2023-02-23T15:41:25Z	2022-12-19T01:12:10Z	Adtech for the topics API	main
louispaulet/face_emotion_in_browser_demo	2026-05-26T16:18:44Z	2026-05-22T13:33:55Z	Detecting face emotions in the browser	main
louispaulet/ffmpeg_jupyterlab_docker	2022-11-09T02:47:31Z	2022-11-09T02:38:53Z	Jupyterlab docker with FFMPEG	main
louispaulet/fraud_tinder	2026-05-26T16:18:27Z	2026-05-12T21:58:41Z	Categorize fraud/scams a la tinder	main
