repo	deployment_id	sha	ref	deployment_created_at	deployment_updated_at	latest_status	status_created_at	deploy_at	environment_url	log_url	creator_login	pages_url	pages_cname	pages_build_type	pages_source_branch
louispaulet/empty-room-demo	4956577424	6ed6f2c5ca67b4e029c61ed4bd8e5e7f737f815e	gh-pages	2026-06-06T10:23:58Z	2026-06-06T10:24:11Z	success	2026-06-06T10:24:11Z	2026-06-06T10:24:11Z	https://louispaulet.github.io/empty-room-demo/	https://github.com/louispaulet/empty-room-demo/actions/runs/27059747726/job/79870447616	louispaulet	https://louispaulet.github.io/empty-room-demo/		legacy	gh-pages
louispaulet/empty-room-demo	4952931520	ce852c2ca5ce541d7373723f30f10e96a8688892	gh-pages	2026-06-05T22:19:50Z	2026-06-06T10:24:12Z	inactive	2026-06-06T10:24:12Z	2026-06-05T22:20:03Z	https://louispaulet.github.io/empty-room-demo/	https://github.com/louispaulet/empty-room-demo/actions/runs/27043085498/job/79823317818	louispaulet	https://louispaulet.github.io/empty-room-demo/		legacy	gh-pages
louispaulet/empty-room-demo	4952845386	36179d3bbb1e5d77233a16f13b87f2ceac581d96	gh-pages	2026-06-05T22:09:24Z	2026-06-05T22:20:04Z	inactive	2026-06-05T22:20:04Z	2026-06-05T22:09:40Z	https://louispaulet.github.io/empty-room-demo/	https://github.com/louispaulet/empty-room-demo/actions/runs/27042688020/job/79822091488	louispaulet	https://louispaulet.github.io/empty-room-demo/		legacy	gh-pages
louispaulet/empty-room-demo	4952632567	9ea0aa7b8bfde673bc7d8e1452349428ccebbb3f	gh-pages	2026-06-05T21:42:27Z	2026-06-05T22:09:41Z	inactive	2026-06-05T22:09:41Z	2026-06-05T21:42:43Z	https://louispaulet.github.io/empty-room-demo/	https://github.com/louispaulet/empty-room-demo/actions/runs/27041616478/job/79818754521	louispaulet	https://louispaulet.github.io/empty-room-demo/		legacy	gh-pages
louispaulet/louispaulet.github.io	4925892227	20adba5822f907e7d120afe30e90294c650d0af1	gh-pages	2026-06-03T22:37:29Z	2026-06-03T22:37:47Z	success	2026-06-03T22:37:47Z	2026-06-03T22:37:47Z	https://louispaulet.github.io/	https://github.com/louispaulet/louispaulet.github.io/actions/runs/26917385202/job/79410184506	louispaulet	https://louispaulet.github.io/		legacy	gh-pages
louispaulet/louispaulet.github.io	4925869289	8e769432d3660718b00531504b6aeb489731baba	gh-pages	2026-06-03T22:34:37Z	2026-06-03T22:37:47Z	inactive	2026-06-03T22:37:47Z	2026-06-03T22:34:50Z	https://louispaulet.github.io/	https://github.com/louispaulet/louispaulet.github.io/actions/runs/26917252356/job/79409780992	louispaulet	https://louispaulet.github.io/		legacy	gh-pages
louispaulet/empty-room-demo	4925769155	08c474c2bd622de715821d4f8feddd1a131ed886	gh-pages	2026-06-03T22:22:48Z	2026-06-05T21:42:43Z	inactive	2026-06-05T21:42:43Z	2026-06-03T22:23:01Z	https://louispaulet.github.io/empty-room-demo/	https://github.com/louispaulet/empty-room-demo/actions/runs/26916708073/job/79408064585	louispaulet	https://louispaulet.github.io/empty-room-demo/		legacy	gh-pages
louispaulet/hatvp_viz_website	4925310932	2b2906e776e1fafe5b91ec10efd886f4a70488fb	gh-pages	2026-06-03T21:35:15Z	2026-06-03T21:35:28Z	success	2026-06-03T21:35:28Z	2026-06-03T21:35:28Z	https://hatvp.thefrenchartist.dev/	https://github.com/louispaulet/hatvp_viz_website/actions/runs/26914446325/job/79400695777	louispaulet	https://hatvp.thefrenchartist.dev/	hatvp.thefrenchartist.dev	legacy	gh-pages
louispaulet/michelin-restaurants	4856273460	86f4dfac0a69c1b6c61b0dc677139456c2380a23	gh-pages	2026-05-29T00:28:56Z	2026-05-29T00:29:10Z	success	2026-05-29T00:29:10Z	2026-05-29T00:29:10Z	http://michelin.thefrenchartist.dev/	https://github.com/louispaulet/michelin-restaurants/actions/runs/26610495027/job/78415135945	louispaulet	http://michelin.thefrenchartist.dev/	michelin.thefrenchartist.dev	legacy	gh-pages
louispaulet/michelin-restaurants	4855455818	dd6ec1c3b50dabd111cbad5a1cb7d7d3501e149e	gh-pages	2026-05-28T22:37:36Z	2026-05-29T00:29:11Z	inactive	2026-05-29T00:29:11Z	2026-05-28T22:37:48Z	http://michelin.thefrenchartist.dev/	https://github.com/louispaulet/michelin-restaurants/actions/runs/26606362670/job/78402366485	louispaulet	http://michelin.thefrenchartist.dev/	michelin.thefrenchartist.dev	legacy	gh-pages
louispaulet/louispaulet.github.io	4855385431	a62ca82c416a5e82888737c239844aa3e2c938d7	gh-pages	2026-05-28T22:29:36Z	2026-06-03T22:34:51Z	inactive	2026-06-03T22:34:51Z	2026-05-28T22:29:50Z	https://louispaulet.github.io/	https://github.com/louispaulet/louispaulet.github.io/actions/runs/26606015521/job/78401270162	louispaulet	https://louispaulet.github.io/		legacy	gh-pages
louispaulet/michelin-restaurants	4854451911	e61705bff44b9537521de0c3febe89d65b3985b1	gh-pages	2026-05-28T20:54:06Z	2026-05-28T22:37:49Z	inactive	2026-05-28T22:37:49Z	2026-05-28T20:54:22Z	http://michelin.thefrenchartist.dev/	https://github.com/louispaulet/michelin-restaurants/actions/runs/26601626924/job/78386523813	louispaulet	http://michelin.thefrenchartist.dev/	michelin.thefrenchartist.dev	legacy	gh-pages
louispaulet/michelin-restaurants	4854216128	ef40466ca87469429f1de7a3115493b42af70082	gh-pages	2026-05-28T20:32:20Z	2026-05-28T20:54:23Z	inactive	2026-05-28T20:54:23Z	2026-05-28T20:32:32Z	http://michelin.thefrenchartist.dev/	https://github.com/louispaulet/michelin-restaurants/actions/runs/26600501544/job/78382713584	louispaulet	http://michelin.thefrenchartist.dev/	michelin.thefrenchartist.dev	legacy	gh-pages
louispaulet/michelin-restaurants	4854143996	2ff1e14c0da838997738b5fe63e66600df91b8da	gh-pages	2026-05-28T20:25:35Z	2026-05-28T20:32:33Z	inactive	2026-05-28T20:32:33Z	2026-05-28T20:25:49Z	http://michelin.thefrenchartist.dev/	https://github.com/louispaulet/michelin-restaurants/actions/runs/26600155850/job/78381521926	louispaulet	http://michelin.thefrenchartist.dev/	michelin.thefrenchartist.dev	legacy	gh-pages
louispaulet/michelin-restaurants	4854131397	4da1fc3d8dc60d462797cc63d29a26498ad13e46	gh-pages	2026-05-28T20:24:23Z	2026-05-28T20:25:50Z	inactive	2026-05-28T20:25:50Z	2026-05-28T20:24:41Z	http://michelin.thefrenchartist.dev/	https://github.com/louispaulet/michelin-restaurants/actions/runs/26600091000/job/78381318136	louispaulet	http://michelin.thefrenchartist.dev/	michelin.thefrenchartist.dev	legacy	gh-pages
louispaulet/michelin-restaurants	4854122499	7ad3022865ddca9238157bc8c4766ae60c1818fe	gh-pages	2026-05-28T20:23:32Z	2026-05-28T20:23:59Z	error	2026-05-28T20:23:59Z		http://michelin.thefrenchartist.dev/	https://github.com/louispaulet/michelin-restaurants/actions/runs/26600049630/job/78381170458	louispaulet	http://michelin.thefrenchartist.dev/	michelin.thefrenchartist.dev	legacy	gh-pages
louispaulet/michelin-restaurants	4854048870	2df1b6cfaf6f758d10d22c0a29e105d3f22b44ee	gh-pages	2026-05-28T20:16:33Z	2026-05-28T20:16:48Z	success	2026-05-28T20:16:48Z	2026-05-28T20:16:48Z	https://louispaulet.github.io/michelin-restaurants/	https://github.com/louispaulet/michelin-restaurants/actions/runs/26599703941/job/78379964670	louispaulet	http://michelin.thefrenchartist.dev/	michelin.thefrenchartist.dev	legacy	gh-pages
louispaulet/michelin-restaurants	4853654060	2b7d5cf15f8cd03c048ee2324b8d993e54eb2bc4	gh-pages	2026-05-28T19:40:50Z	2026-05-28T20:16:49Z	inactive	2026-05-28T20:16:49Z	2026-05-28T19:41:03Z	https://louispaulet.github.io/michelin-restaurants/	https://github.com/louispaulet/michelin-restaurants/actions/runs/26597869534/job/78373571326	louispaulet	http://michelin.thefrenchartist.dev/	michelin.thefrenchartist.dev	legacy	gh-pages
